;vorname;anzahl;geschlecht;position
CW;Marie;72;w;2
CW;Sophie;70;w;2
CW;Maria;50;w;2
CW;Alexander;43;m;2
CW;Noah;43;m;1
CW;Emilia;42;w;1
CW;Charlotte;36;w;2
CW;Emma;36;w;1
CW;Anton;35;m;1
CW;Emil;35;m;1
CW;Anna;33;w;1
CW;Ella;32;w;1
CW;Maximilian;31;m;2
CW;Felix;30;m;1
CW;Charlotte;30;w;1
CW;Mila;30;w;1
CW;Sophia;29;w;1
CW;Jakob;27;m;1
CW;Maximilian;27;m;1
CW;Mia;27;w;1
CW;Helena;26;w;1
CW;Jonas;25;m;1
CW;Theodor;25;m;1
CW;Hannah;25;w;1
CW;Jonathan;24;m;1
CW;Lara;24;w;1
CW;Luise;23;w;2
CW;Julian;23;m;1
CW;Paul;23;m;1
CW;Lea;23;w;1
CW;Elias;22;m;2
CW;Adam;22;m;1
CW;Elias;22;m;1
CW;Lina;22;w;1
CW;Leonard;22;m;1
CW;Marie;22;w;1
CW;Mathilda;22;w;1
CW;Sophia;21;w;2
CW;Henry;21;m;1
CW;Liam;21;m;1
CW;Clara;20;w;1
CW;Julius;20;m;1
CW;Mira;20;w;1
CW;Louis;20;m;1
CW;Oskar;20;m;1
CW;Theo;20;m;1
CW;Greta;19;w;1
CW;Johanna;19;w;1
CW;Luise;19;w;1
CW;Alexander;19;m;1
CW;Nora;19;w;1
CW;Paul;18;m;2
CW;Ben;18;m;1
CW;Lena;18;w;1
CW;Luca;18;m;1
CW;Luisa;18;w;1
CW;Elisabeth;17;w;2
CW;Finn;17;m;1
CW;Ida;17;w;1
CW;Leon;17;m;1
CW;Valentin;16;m;2
CW;Anna;16;w;2
CW;Emilia;16;w;2
CW;Marlene;16;w;1
CW;Arthur;16;m;1
CW;David;16;m;1
CW;Leo;16;m;1
CW;Moritz;16;m;1
CW;Anton;15;m;2
CW;Elisa;15;w;2
CW;Maja;15;w;1
CW;Matilda;15;w;1
CW;Paula;15;w;1
CW;Sofia;15;w;1
CW;Levi;15;m;1
CW;Linus;15;m;1
CW;Emil;14;m;2
CW;Jakob;14;m;2
CW;Luisa;14;w;2
CW;Victoria;14;w;2
CW;Elisa;14;w;1
CW;Frida;14;w;1
CW;Fritz;14;m;1
CW;Klara;14;w;1
CW;Luis;14;m;1
CW;Leni;14;w;1
CW;Lukas;14;m;1
CW;Olivia;14;w;1
CW;Tim;14;m;1
CW;Sophie;14;w;1
CW;Vincent;14;m;1
CW;Helene;13;w;2
CW;Alma;13;w;1
CW;Adrian;13;m;1
CW;Ava;13;w;1
CW;Bruno;13;m;1
CW;Elisabeth;13;w;1
CW;Carl;13;m;1
CW;Julia;13;w;1
CW;Gabriel;13;m;1
CW;Leonie;13;w;1
CW;Karl;13;m;1
CW;Mina;13;w;1
CW;Max;13;m;1
CW;Milan;13;m;1
CW;Valentin;13;m;1
CW;Caspar;12;m;2
CW;Felix;12;m;2
CW;Johannes;12;m;2
CW;Karl;12;m;2
CW;Amelie;12;w;1
CW;Antonia;12;w;1
CW;Lia;12;w;1
CW;Benjamin;12;m;1
CW;Louisa;12;w;1
CW;Henri;12;m;1
CW;Maya;12;w;1
CW;Malik;12;m;1
CW;Mats;12;m;1
CW;David;11;m;2
CW;Friedrich;11;m;2
CW;Konstantin;11;m;2
CW;Noah;11;m;2
CW;Isabella;11;w;1
CW;Laura;11;w;1
CW;Friedrich;11;m;1
CW;Lilly;11;w;1
CW;Ilyas;11;m;1
CW;Liya;11;w;1
CW;Johann;11;m;1
CW;Maria;11;w;1
CW;Joshua;11;m;1
CW;Nele;11;w;1
CW;Matteo;11;m;1
CW;Raphael;11;m;1
CW;Emma;10;w;2
CW;Johanna;10;w;2
CW;Benjamin;10;m;2
CW;Carl;10;m;2
CW;Jonathan;10;m;2
CW;Julius;10;m;2
CW;Louis;10;m;2
CW;Luca;10;m;2
CW;Michael;10;m;2
CW;Otto;10;m;2
CW;Philipp;10;m;2
CW;Sebastian;10;m;2
CW;Alva;10;w;1
CW;Carla;10;w;1
CW;Florian;10;m;1
CW;Emily;10;w;1
CW;Leonardo;10;m;1
CW;Hanna;10;w;1
CW;Juna;10;w;1
CW;Sara;10;w;1
CW;Marie;9;w;3
CW;Mathilda;9;w;2
CW;Can;9;m;2
CW;Leonard;9;m;2
CW;Martin;9;m;2
CW;Daniel;9;m;1
CW;Frederik;9;m;1
CW;Jan;9;m;1
CW;Ada;9;w;1
CW;Matheo;9;m;1
CW;Elena;9;w;1
CW;Mika;9;m;1
CW;Fiona;9;w;1
CW;Samuel;9;m;1
CW;Luna;9;w;1
CW;Tom;9;m;1
CW;Stella;9;w;1
CW;Theresa;9;w;1
CW;Tilda;9;w;1
CW;Amalia;8;w;2
CW;Antonia;8;w;2
CW;Elise;8;w;2
CW;Josephine;8;w;2
CW;Lou;8;w;2
CW;Louise;8;w;2
CW;Su;8;w;2
CW;August;8;m;2
CW;Frederik;8;m;2
CW;Georg;8;m;2
CW;Henry;8;m;2
CW;Liam;8;m;2
CW;Lukas;8;m;2
CW;Samuel;8;m;2
CW;Theodor;8;m;2
CW;Amir;8;m;1
CW;Caspar;8;m;1
CW;Enno;8;m;1
CW;Amalia;8;w;1
CW;Erik;8;m;1
CW;Ana;8;w;1
CW;Hamza;8;m;1
CW;Carlotta;8;w;1
CW;Hugo;8;m;1
CW;Ela;8;w;1
CW;Jonah;8;m;1
CW;Leah;8;w;1
CW;Justus;8;m;1
CW;Merle;8;w;1
CW;Kian;8;m;1
CW;Sarah;8;w;1
CW;Konstantin;8;m;1
CW;Thea;8;w;1
CW;Malte;8;m;1
CW;Viktoria;8;w;1
CW;Maxim;8;m;1
CW;Omar;8;m;1
CW;Tobias;8;m;1
CW;Amelie;7;w;2
CW;Ida;7;w;2
CW;Isabel;7;w;2
CW;Lucia;7;w;2
CW;Rosa;7;w;2
CW;Ali;7;m;2
CW;Gabriel;7;m;2
CW;Johann;7;m;2
CW;Joseph;7;m;2
CW;Joshua;7;m;2
CW;Max;7;m;2
CW;Flora;7;w;1
CW;Isabel;7;w;1
CW;Josephine;7;w;1
CW;Jannis;7;m;1
CW;Leyla;7;w;1
CW;Lucas;7;m;1
CW;Lilli;7;w;1
CW;Oliver;7;m;1
CW;Liv;7;w;1
CW;Oscar;7;m;1
CW;Livia;7;w;1
CW;Philipp;7;m;1
CW;Mara;7;w;1
CW;Simon;7;m;1
CW;William;7;m;1
CW;Paul;6;m;3
CW;Elisabeth;6;w;3
CW;Maria;6;w;3
CW;Sophie;6;w;3
CW;Alma;6;w;2
CW;Ava;6;w;2
CW;Carlotta;6;w;2
CW;Hannah;6;w;2
CW;Helena;6;w;2
CW;Isabella;6;w;2
CW;Katharina;6;w;2
CW;Lara;6;w;2
CW;Matilda;6;w;2
CW;Mia;6;w;2
